panel_index	source_column	ensembl_id	gene_symbol	unique_symbol	train_control_mean	train_control_variance	train_control_sd	scale
0	10433	ENSG00000197061	HIST1H4C	True	2.8843629748732349	1.5726088790593238	1.254037032570938	1.254037032570938
1	25193	ENSG00000130656	HBZ	True	1.5791158596610486	0.66402271906212285	0.81487589181551001	0.81487589181551001
2	10431	ENSG00000187837	HIST1H1C	True	1.8492431586131151	0.60590681416650627	0.77840016326212724	0.77840016326212724
3	17185	ENSG00000196565	HBG2	True	1.6867419834786421	0.59126681720061303	0.76893876037081976	0.76893876037081976
4	18025	ENSG00000245532	NEAT1	True	1.5159424146535996	0.41680856098187746	0.64560712587600633	0.64560712587600633
5	27648	ENSG00000131747	TOP2A	True	0.70884241975979123	0.40021123842627226	0.63262250863075709	0.63262250863075709
6	17184	ENSG00000213934	HBG1	True	0.75124284012767206	0.38813939900670691	0.62300834585638332	0.62300834585638332
7	18028	ENSG00000251562	MALAT1	True	4.6348446743547829	0.37758999508168145	0.61448351896668596	0.61448351896668596
8	32043	ENSG00000108106	UBE2S	True	1.9065410300623489	0.36548772716386857	0.60455580980077317	0.60455580980077317
9	10474	ENSG00000124635	HIST1H2BJ	True	0.77191213611170351	0.3465867175973818	0.58871616046901731	0.58871616046901731
10	33663	ENSG00000198695	MT-ND6	True	1.368823734108688	0.33039226115424314	0.57479758276652759	0.57479758276652759
11	2750	ENSG00000117724	CENPF	True	0.9247993193454751	0.32692704674170903	0.57177534639201522	0.57177534639201522
12	19106	ENSG00000026025	VIM	True	0.83896663865220789	0.32277025031600526	0.56812872688855054	0.56812872688855054
13	16310	ENSG00000123975	CKS2	True	0.99652013342062751	0.32273926458760638	0.56810145624492669	0.56810145624492669
14	24860	ENSG00000041357	PSMA4	True	1.3123954733041923	0.3165114737536785	0.56259352445053834	0.56259352445053834
15	8374	ENSG00000164104	HMGB2	True	1.7696135753869193	0.31337954559902004	0.55980313110862467	0.55980313110862467
16	8184	ENSG00000250361	GYPB	True	1.235874569324571	0.30894871350433428	0.55583155137535534	0.55583155137535534
17	10132	ENSG00000169045	HNRNPH1	True	0.82468534652318581	0.30706294088964248	0.55413260226198791	0.55413260226198791
18	11070	ENSG00000227706	RP11-301G19.1	True	1.6724015729273527	0.30512985675356719	0.55238560512885126	0.55238560512885126
19	9925	ENSG00000164611	PTTG1	True	1.0042111676304877	0.29896415814987032	0.54677614994609114	0.54677614994609114
20	18764	ENSG00000109971	HSPA8	True	1.2594095337644982	0.29381283622425092	0.54204504999515579	0.54204504999515579
21	548	ENSG00000142669	SH3BGRL3	True	0.8263118482970756	0.28843282390499325	0.53705942306693888	0.53705942306693888
22	18161	ENSG00000069482	GAL	True	1.0550790821974947	0.28437930785932752	0.53327226428844721	0.53327226428844721
23	20910	ENSG00000111057	KRT18	True	1.0389091478133985	0.28389506551193811	0.53281804165393842	0.53281804165393842
24	31555	ENSG00000130203	APOE	True	1.6846459173995405	0.28343070484457744	0.53238210417385123	0.53238210417385123
25	17406	ENSG00000134333	LDHA	True	1.1667695764460224	0.27877547151108573	0.5279919237176699	0.5279919237176699
26	10589	ENSG00000196230	TUBB	True	1.8525565948438967	0.27746119618161869	0.52674585540051355	0.52674585540051355
27	11810	ENSG00000008018	PSMB1	True	1.4394900996095521	0.27712267335967011	0.52642442321730298	0.52642442321730298
